CountryId,City,Latitude,Longtidue
14,"Emerald","-23.533","148.167"
14,"Gladstone","-23.85","151.25"
14,"Gold Coast","-28","153.433"
14,"Goondiwindi","-28.55","150.317"
14,"Gympie","-26.183","152.667"
14,"Ingham","-18.65","146.167"
14,"Ipswich","-27.617","152.767"
14,"Kingaroy","-26.533","151.833"
14,"Longreach","-23.4375","144.249"
14,"Mackay","-21.15","149.2"
14,"Maleny","-26.75","152.85"
14,"Manly","-27.467","153.183"
14,"Maroochydore","-26.65","153.1"
14,"Maryborough","-25.533","152.7"
14,"Mount Isa","-20.733","139.5"
14,"Nambour","-26.633","152.95"
14,"Noosa","-26.383","153.15"
14,"Redcliffe","-27.233","153.117"
14,"Richmond","-20.717","143.133"
14,"Rockhampton","-23.383","150.5"
14,"Roma","-26.583","148.783"
14,"Southport","-27.967","153.4"
14,"Stanthorpe","-28.667","151.95"
14,"Toowoomba","-27.55","151.967"
14,"Torquay","-25.283","152.867"
14,"Townsville","-19.25","146.8"
14,"Windorah","-25.433","142.65"
14,"Albury","-36.083","146.917"
14,"Armidale","-30.517","151.65"
14,"Ballina","-28.867","153.567"
14,"Bankstown","-33.917","151.033"
14,"Batemans Bay","-35.717","150.183"
14,"Bathurst","-33.417","149.567"
14,"Bega","-36.667","149.833"
14,"Blacktown","-33.767","150.917"
14,"Bombala","-36.9","149.233"
14,"Bondi","-33.892","151.267"
14,"Bourke","-30.1","145.933"
14,"Bowral","-34.467","150.417"
14,"Broken Hill","-31.95","141.433"
14,"Burwood","-33.883","151.1"
14,"Byron Bay","-28.65","153.617"
14,"Camden","-34.05","150.7"
14,"Campbelltown","-34.067","150.817"
14,"Cessnock","-32.833","151.35"
14,"Cobar","-31.5","145.817"
14,"Coffs Harbour","-30.3","153.133"
14,"Cooma","-36.233","149.133"
14,"Cootamundra","-34.65","148.033"
14,"Dubbo","-32.25","148.617"
14,"Dural","-33.683","151.017"
14,"Fairlight","-33.8","151.283"
14,"Gosford","-33.433","151.35"
14,"Goulburn","-34.75","149.717"
14,"Grafton","-29.683","152.933"
14,"Griffith","-34.283","146.033"
14,"Hurstville","-33.967","151.1"
14,"Inverell","-29.783","151.117"
14,"Katoomba ","-33.7","150.3"
14,"Kempsey","-31.083","152.833"
14,"Lake Haven","-31.633","152.817"
14,"Lidcombe","-33.867","151.033"
14,"Lightning Ridge","-29.433","147.983"
14,"Lismore","-28.8","153.267"
14,"Lithgow","-33.483","150.15"
14,"Liverpool","-33.9","150.933"
14,"Maitland","-32.733","151.55"
14,"Mona Vale","-33.667","151.3"
14,"Mudgee","-32.433","149.583"
14,"Mungindi","-28.967","148.983"
14,"Murwillumbah","-28.317","153.4"
14,"Narrabri","-30.317","149.783"
14,"Nelson Bay","-32.717","152.15"
14,"Newcastle","-32.917","151.75"
14,"Nowra","-34.883","150.6"
14,"Oberon","-33.717","149.867"
14,"Orange","-33.283","149.1"
14,"Padstow","-33.95","151.033"
14,"Parramatta","-33.817","151"
14,"Penrith","-33.75","150.7"
14,"Port Macquarie","-31.433","152.917"
14,"Pyrmont","-33.869","151.194"
14,"Queanbeyan","-35.35","149.233"
14,"Richmond","-33.6","150.767"
14,"Rosebery","-33.917","151.2"
14,"Springwood","-33.7","150.55"
14,"Srtoud","-32.4","151.967"
14,"Sutherland","-34.033","151.067"
14,"Sydney","-33.883","151.217"
14,"Tamworth","-31.1","150.933"
14,"Tingha","-29.95","151.217"
14,"Tweed Heads","-28.183","153.55"
14,"Ulladulla","-35.35","150.467"
14,"Wagga Wagga","-35.117","147.367"
14,"Warringa","-33.8","151.283"
14,"Wauchope","-31.45","152.733"
14,"Wee Jasper","-35.15","148.7"
14,"West Wyalong","-33.917","147.217"
14,"Windsor","-33.617","150.817"
14,"Wollongong","-34.433","150.883"
14,"Woronora Heights","-34.017","151.033"
14,"Wyong","-33.283","151.35"
14,"Yass","-34.833","148.917"
14,"Young","-34.317","148.3"
14,"Adelaide","-34.933","138.6"
14,"Beachport","-37.5","140.017"
14,"Brighton","-35.017","138.517"
14,"Elizabeth","-34.733","138.65"
14,"Loxton","-34.45","140.567"
14,"Millicent","-37.6","140.35"
14,"Mount Gambier","-37.833","140.767"
14,"Murray Bridge","-35.117","139.267"
14,"Oodnadatta","-27.55","135.467"
14,"Reynella","-35.1","138.533"
14,"Whyalla","-33.033","137.583"
14,"Woomera","-31.5","137.167"
14,"Yorketown","-35.033","137.6"
14,"Albany","-35.017","117.892"
14,"Armadale","-32.15","116"
14,"Broome","-17.967","122.233"
14,"Bunbury","-33.333","115.633"
14,"Carnarvon","-24.867","113.633"
14,"Derby","-17.3157","123.654"
14,"Dongara","-29.25","114.933"
14,"Esperance","-33.8646","121.879"
14,"Exmouth","-21.933","114.133"
14,"Fitzroy Crossing","-18.1967","125.567"
14,"Fremantle","-32.05","115.767"
14,"Geraldton","-28.767","114.6"
14,"Halls Creek","-18.2232","127.667"
14,"Harvey","-33.083","115.9"
14,"Kalgoorlie","-30.75","121.467"
14,"Karratha","-20.7373","116.845"
14,"Kununurra","-15.7729","128.733"
14,"Mandurah","-32.55","115.7"
14,"Manjimup","-34.233","116.15"
14,"Margaret River","-33.9539","115.073"
14,"Newman","-23.3564","119.74"
14,"Perth","-31.933","115.833"
14,"Port Hedland","-20.317","118.567"
14,"Rockingham","-32.283","115.717"
14,"Shark Bay","-25.933","113.542"
14,"Williamstown","-30.75","121.483"
14,"York","-31.9","116.767"
14,"Alice Springs","-23.7","133.883"
14,"Darwin","-12.467","130.833"
14,"Katherine","-14.467","132.267"
14,"Tennant Creek","-19.65","134.2"
14,"Canberra","-35.283","149.217"
14,"AOL","-27","133"
15,"Eisenstadt","47.85","16.517"
15,"G�ssing","47.067","16.333"
15,"Neud�rfl","47.783","16.283"
15,"Pinkafeld","47.367","16.117"
15,"Stegersbach","47.167","16.167"
15,"Bodensdorf","46.691","13.971"
15,"D�briach","46.783","13.66"
15,"Feldkirchen","46.717","14.1"
15,"Klagenfurt","46.625","14.305"
15,"Villach","46.61","13.856"
15,"Bad V�slau","47.967","16.2"
15,"Baden","48.017","16.233"
15,"Ebreichsdorf","47.95","16.4"
15,"G�nserndorf","48.35","16.733"
15,"Grafenbach","47.683","16"
15,"Korneuburg","48.35","16.333"
15,"Lilienfeld","48.017","15.633"
15,"M�dling","48.083","16.283"
15,"Neulengbach","48.2","15.9"
15,"Retz","48.75","15.95"
15,"Rosental","48.033","16.183"
15,"Sankt P�lten","48.2","15.633"
15,"Wiener Neustadt","47.8","16.25"
15,"Wieselburg","48.133","15.133"
15,"Zwettl ","48.617","15.167"
15,"Bad Hall","48.033","14.2"
15,"Hagenberg","48.367","14.517"
15,"Kremsm�nster","48.05","14.133"
15,"Linz","48.3","14.3"
15,"Steyr","48.05","14.417"
15,"Wels","48.167","14.033"
15,"Salzburg","47.8","13.033"
